date,hospitalBedsRequired,hospitalBedCapacity,ICUBedsInUse,ICUBedCapacity,ventilatorsInUse,ventilatorCapacity,RtIndicator,RtIndicatorCI90,cumulativeDeaths,cumulativeInfected,cumulativePositiveTests,cumulativeNegativeTests,countryName,stateName,countyName,intervention,fips,lat,long,lastUpdatedDate
2020-08-11,4076,19805,1904,821,567,2830,nan,nan,54613,10279385,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-08-12,3702,19805,1780,821,512,2830,nan,nan,54875,10280098,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-08-13,3364,19805,1664,821,463,2830,nan,nan,55118,10280703,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-08-14,3059,19805,1556,821,418,2830,nan,nan,55342,10281217,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-08-15,2783,19805,1456,821,377,2830,nan,nan,55549,10281655,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-08-16,2534,19805,1362,821,340,2830,nan,nan,55740,10282027,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-08-17,2309,19805,1276,821,307,2830,nan,nan,55916,10282344,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-08-18,2106,19805,1195,821,276,2830,nan,nan,56080,10282613,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-08-19,1922,19805,1120,821,249,2830,nan,nan,56231,10282843,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-08-20,1756,19805,1050,821,224,2830,nan,nan,56371,10283038,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-08-21,1606,19805,985,821,202,2830,nan,nan,56500,10283205,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-08-22,1471,19805,924,821,181,2830,nan,nan,56621,10283347,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-08-23,1348,19805,867,821,163,2830,nan,nan,56732,10283468,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-08-24,1237,19805,815,821,147,2830,nan,nan,56836,10283572,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-08-25,1137,19805,766,821,132,2830,nan,nan,56932,10283660,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-08-26,1045,19805,720,821,118,2830,nan,nan,57021,10283736,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-08-27,963,19805,677,821,106,2830,nan,nan,57105,10283800,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-08-28,888,19805,637,821,96,2830,nan,nan,57182,10283856,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-08-29,820,19805,600,821,86,2830,nan,nan,57254,10283903,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-08-30,758,19805,565,821,77,2830,nan,nan,57321,10283944,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-08-31,701,19805,532,821,69,2830,nan,nan,57384,10283979,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-09-01,650,19805,502,821,62,2830,nan,nan,57443,10284010,,,US,Georgia,,NO_INTERVENTION,13,31.74847232,-82.28909114,2020-06-03
2020-03-15,0,2156,0,58,0,189,1.8,2.26,0,0,2,,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-03-16,0,2156,0,58,0,189,1.7000000000000002,1.98,0,48,7,,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-03-17,0,2156,0,58,0,189,2.0,1.7999999999999998,0,98,10,,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-03-18,0,2156,0,58,0,189,2.0,1.56,0,153,14,93,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-03-19,0,2156,0,58,0,189,1.82,1.4000000000000001,0,213,16,93,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-03-20,0,2156,0,58,0,189,1.82,1.28,0,281,26,124,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-03-21,0,2156,0,58,0,189,1.8,1.18,0,358,37,124,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-03-22,0,2156,0,58,0,189,1.78,1.0799999999999998,0,445,48,263,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-03-23,0,2156,0,58,0,189,1.82,0.9799999999999998,0,543,56,2955,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-03-24,0,2156,0,58,0,189,1.76,0.9200000000000002,0,654,77,3589,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-03-25,0,2156,0,58,0,189,1.78,0.8400000000000001,0,779,90,4357,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-03-26,0,2156,0,58,0,189,1.76,0.78,0,920,95,4357,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-03-27,0,2156,0,58,0,189,1.7000000000000002,0.7399999999999998,0,1077,106,4357,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-03-28,0,2156,0,58,0,189,1.7000000000000002,0.6799999999999997,1,1249,120,4357,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-03-29,0,2156,0,58,0,189,1.6600000000000001,0.6599999999999997,1,1434,151,6849,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-03-30,0,2156,0,58,0,189,1.6400000000000001,0.6199999999999997,1,1633,175,7825,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-03-31,0,2156,0,58,0,189,1.58,0.56,1,1842,204,8471,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-04-01,0,2156,0,58,0,189,1.54,0.54,2,2061,208,8721,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-04-02,1,2156,0,58,0,189,1.5,0.52,2,2287,258,10206,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-04-03,1,2156,0,58,0,189,1.46,0.5,2,2517,285,10206,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-04-04,1,2156,0,58,0,189,1.44,0.48,3,2750,319,11959,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-04-05,1,2156,0,58,0,189,1.38,0.48,3,2981,351,12604,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-04-06,1,2156,0,58,0,189,1.34,0.45999999999999996,4,3207,371,13155,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-04-07,1,2156,0,58,0,189,1.28,0.43999999999999995,4,3426,387,13155,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-04-08,1,2156,0,58,0,189,1.24,0.44000000000000017,5,3633,410,14739,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-04-09,1,2156,0,58,0,189,1.2,0.44000000000000017,5,3828,435,15316,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
2020-04-10,1,2156,0,58,0,189,1.18,0.44000000000000017,6,4013,442,15707,US,Hawaii,,NO_INTERVENTION,15,19.60121157,-155.5210167,2020-06-03
