fips,state,country,aggregate_level,can_location_page_url
05013,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/calhoun_county
05015,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/carroll_county
05017,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/chicot_county
05019,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/clark_county
05021,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/clay_county
05023,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/cleburne_county
05025,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/cleveland_county
05027,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/columbia_county
05029,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/conway_county
05031,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/craighead_county
05033,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/crawford_county
05035,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/crittenden_county
05037,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/cross_county
05039,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/dallas_county
05041,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/desha_county
05043,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/drew_county
05045,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/faulkner_county
05047,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/franklin_county
05049,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/fulton_county
05051,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/garland_county
05053,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/grant_county
05055,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/greene_county
05057,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/hempstead_county
05059,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/hot_spring_county
05061,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/howard_county
05063,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/independence_county
05065,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/izard_county
05067,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/jackson_county
05069,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/jefferson_county
05071,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/johnson_county
05073,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/lafayette_county
05075,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/lawrence_county
05077,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/lee_county
05079,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/lincoln_county
05081,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/little_river_county
05083,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/logan_county
05085,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/lonoke_county
05087,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/madison_county
05089,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/marion_county
05091,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/miller_county
05093,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/mississippi_county
05095,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/monroe_county
05097,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/montgomery_county
05099,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/nevada_county
05101,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/newton_county
05103,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/ouachita_county
05105,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/perry_county
05107,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/phillips_county
05109,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/pike_county
05111,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/poinsett_county
05113,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/polk_county
05115,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/pope_county
05117,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/prairie_county
05119,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/pulaski_county
05121,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/randolph_county
05123,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/st_francis_county
05125,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/saline_county
05127,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/scott_county
05129,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/searcy_county
05131,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/sebastian_county
05133,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/sevier_county
05135,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/sharp_county
05137,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/stone_county
05139,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/union_county
05141,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/van_buren_county
05143,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/washington_county
05145,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/white_county
05147,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/woodruff_county
05149,AR,USA,county,https://covidactnow.org/us/arkansas-ar/county/yell_county
06,CA,USA,state,https://covidactnow.org/us/california-ca
06001,CA,USA,county,https://covidactnow.org/us/california-ca/county/alameda_county
06003,CA,USA,county,https://covidactnow.org/us/california-ca/county/alpine_county
06005,CA,USA,county,https://covidactnow.org/us/california-ca/county/amador_county
06007,CA,USA,county,https://covidactnow.org/us/california-ca/county/butte_county
06009,CA,USA,county,https://covidactnow.org/us/california-ca/county/calaveras_county
06011,CA,USA,county,https://covidactnow.org/us/california-ca/county/colusa_county
06013,CA,USA,county,https://covidactnow.org/us/california-ca/county/contra_costa_county
06015,CA,USA,county,https://covidactnow.org/us/california-ca/county/del_norte_county
06017,CA,USA,county,https://covidactnow.org/us/california-ca/county/el_dorado_county
06019,CA,USA,county,https://covidactnow.org/us/california-ca/county/fresno_county
06021,CA,USA,county,https://covidactnow.org/us/california-ca/county/glenn_county
06023,CA,USA,county,https://covidactnow.org/us/california-ca/county/humboldt_county
06025,CA,USA,county,https://covidactnow.org/us/california-ca/county/imperial_county
06027,CA,USA,county,https://covidactnow.org/us/california-ca/county/inyo_county
06029,CA,USA,county,https://covidactnow.org/us/california-ca/county/kern_county
06031,CA,USA,county,https://covidactnow.org/us/california-ca/county/kings_county
06033,CA,USA,county,https://covidactnow.org/us/california-ca/county/lake_county
06035,CA,USA,county,https://covidactnow.org/us/california-ca/county/lassen_county
06037,CA,USA,county,https://covidactnow.org/us/california-ca/county/los_angeles_county
06039,CA,USA,county,https://covidactnow.org/us/california-ca/county/madera_county
06041,CA,USA,county,https://covidactnow.org/us/california-ca/county/marin_county
06043,CA,USA,county,https://covidactnow.org/us/california-ca/county/mariposa_county
06045,CA,USA,county,https://covidactnow.org/us/california-ca/county/mendocino_county
06047,CA,USA,county,https://covidactnow.org/us/california-ca/county/merced_county
06049,CA,USA,county,https://covidactnow.org/us/california-ca/county/modoc_county
06051,CA,USA,county,https://covidactnow.org/us/california-ca/county/mono_county
06053,CA,USA,county,https://covidactnow.org/us/california-ca/county/monterey_county
06055,CA,USA,county,https://covidactnow.org/us/california-ca/county/napa_county
06057,CA,USA,county,https://covidactnow.org/us/california-ca/county/nevada_county
06059,CA,USA,county,https://covidactnow.org/us/california-ca/county/orange_county
06061,CA,USA,county,https://covidactnow.org/us/california-ca/county/placer_county
06063,CA,USA,county,https://covidactnow.org/us/california-ca/county/plumas_county
06065,CA,USA,county,https://covidactnow.org/us/california-ca/county/riverside_county
06067,CA,USA,county,https://covidactnow.org/us/california-ca/county/sacramento_county
06069,CA,USA,county,https://covidactnow.org/us/california-ca/county/san_benito_county
06071,CA,USA,county,https://covidactnow.org/us/california-ca/county/san_bernardino_county
06073,CA,USA,county,https://covidactnow.org/us/california-ca/county/san_diego_county
06075,CA,USA,county,https://covidactnow.org/us/california-ca/county/san_francisco_county
06077,CA,USA,county,https://covidactnow.org/us/california-ca/county/san_joaquin_county
06079,CA,USA,county,https://covidactnow.org/us/california-ca/county/san_luis_obispo_county
06081,CA,USA,county,https://covidactnow.org/us/california-ca/county/san_mateo_county
06083,CA,USA,county,https://covidactnow.org/us/california-ca/county/santa_barbara_county
06085,CA,USA,county,https://covidactnow.org/us/california-ca/county/santa_clara_county
06087,CA,USA,county,https://covidactnow.org/us/california-ca/county/santa_cruz_county
06089,CA,USA,county,https://covidactnow.org/us/california-ca/county/shasta_county
06091,CA,USA,county,https://covidactnow.org/us/california-ca/county/sierra_county
06093,CA,USA,county,https://covidactnow.org/us/california-ca/county/siskiyou_county
06095,CA,USA,county,https://covidactnow.org/us/california-ca/county/solano_county
06097,CA,USA,county,https://covidactnow.org/us/california-ca/county/sonoma_county
06099,CA,USA,county,https://covidactnow.org/us/california-ca/county/stanislaus_county
06101,CA,USA,county,https://covidactnow.org/us/california-ca/county/sutter_county
06103,CA,USA,county,https://covidactnow.org/us/california-ca/county/tehama_county
06105,CA,USA,county,https://covidactnow.org/us/california-ca/county/trinity_county
06107,CA,USA,county,https://covidactnow.org/us/california-ca/county/tulare_county
06109,CA,USA,county,https://covidactnow.org/us/california-ca/county/tuolumne_county
06111,CA,USA,county,https://covidactnow.org/us/california-ca/county/ventura_county
06113,CA,USA,county,https://covidactnow.org/us/california-ca/county/yolo_county
06115,CA,USA,county,https://covidactnow.org/us/california-ca/county/yuba_county
08,CO,USA,state,https://covidactnow.org/us/colorado-co
08001,CO,USA,county,https://covidactnow.org/us/colorado-co/county/adams_county
08003,CO,USA,county,https://covidactnow.org/us/colorado-co/county/alamosa_county
08005,CO,USA,county,https://covidactnow.org/us/colorado-co/county/arapahoe_county
08007,CO,USA,county,https://covidactnow.org/us/colorado-co/county/archuleta_county
08009,CO,USA,county,https://covidactnow.org/us/colorado-co/county/baca_county
08011,CO,USA,county,https://covidactnow.org/us/colorado-co/county/bent_county
08013,CO,USA,county,https://covidactnow.org/us/colorado-co/county/boulder_county
08014,CO,USA,county,https://covidactnow.org/us/colorado-co/county/broomfield_county
08015,CO,USA,county,https://covidactnow.org/us/colorado-co/county/chaffee_county
08017,CO,USA,county,https://covidactnow.org/us/colorado-co/county/cheyenne_county
08019,CO,USA,county,https://covidactnow.org/us/colorado-co/county/clear_creek_county
08021,CO,USA,county,https://covidactnow.org/us/colorado-co/county/conejos_county
08023,CO,USA,county,https://covidactnow.org/us/colorado-co/county/costilla_county
08025,CO,USA,county,https://covidactnow.org/us/colorado-co/county/crowley_county
08027,CO,USA,county,https://covidactnow.org/us/colorado-co/county/custer_county
08029,CO,USA,county,https://covidactnow.org/us/colorado-co/county/delta_county
08031,CO,USA,county,https://covidactnow.org/us/colorado-co/county/denver_county
08033,CO,USA,county,https://covidactnow.org/us/colorado-co/county/dolores_county
08035,CO,USA,county,https://covidactnow.org/us/colorado-co/county/douglas_county
08037,CO,USA,county,https://covidactnow.org/us/colorado-co/county/eagle_county
08039,CO,USA,county,https://covidactnow.org/us/colorado-co/county/elbert_county
08041,CO,USA,county,https://covidactnow.org/us/colorado-co/county/el_paso_county
08043,CO,USA,county,https://covidactnow.org/us/colorado-co/county/fremont_county
08045,CO,USA,county,https://covidactnow.org/us/colorado-co/county/garfield_county
08047,CO,USA,county,https://covidactnow.org/us/colorado-co/county/gilpin_county
08049,CO,USA,county,https://covidactnow.org/us/colorado-co/county/grand_county
08051,CO,USA,county,https://covidactnow.org/us/colorado-co/county/gunnison_county
08053,CO,USA,county,https://covidactnow.org/us/colorado-co/county/hinsdale_county
08055,CO,USA,county,https://covidactnow.org/us/colorado-co/county/huerfano_county
08057,CO,USA,county,https://covidactnow.org/us/colorado-co/county/jackson_county
08059,CO,USA,county,https://covidactnow.org/us/colorado-co/county/jefferson_county
08061,CO,USA,county,https://covidactnow.org/us/colorado-co/county/kiowa_county
08063,CO,USA,county,https://covidactnow.org/us/colorado-co/county/kit_carson_county
08065,CO,USA,county,https://covidactnow.org/us/colorado-co/county/lake_county
08067,CO,USA,county,https://covidactnow.org/us/colorado-co/county/la_plata_county
08069,CO,USA,county,https://covidactnow.org/us/colorado-co/county/larimer_county
08071,CO,USA,county,https://covidactnow.org/us/colorado-co/county/las_animas_county
08073,CO,USA,county,https://covidactnow.org/us/colorado-co/county/lincoln_county
08075,CO,USA,county,https://covidactnow.org/us/colorado-co/county/logan_county
08077,CO,USA,county,https://covidactnow.org/us/colorado-co/county/mesa_county
08079,CO,USA,county,https://covidactnow.org/us/colorado-co/county/mineral_county
08081,CO,USA,county,https://covidactnow.org/us/colorado-co/county/moffat_county
08083,CO,USA,county,https://covidactnow.org/us/colorado-co/county/montezuma_county
08085,CO,USA,county,https://covidactnow.org/us/colorado-co/county/montrose_county
08087,CO,USA,county,https://covidactnow.org/us/colorado-co/county/morgan_county
08089,CO,USA,county,https://covidactnow.org/us/colorado-co/county/otero_county
08091,CO,USA,county,https://covidactnow.org/us/colorado-co/county/ouray_county
08093,CO,USA,county,https://covidactnow.org/us/colorado-co/county/park_county
08095,CO,USA,county,https://covidactnow.org/us/colorado-co/county/phillips_county
08097,CO,USA,county,https://covidactnow.org/us/colorado-co/county/pitkin_county
08099,CO,USA,county,https://covidactnow.org/us/colorado-co/county/prowers_county
08101,CO,USA,county,https://covidactnow.org/us/colorado-co/county/pueblo_county
08103,CO,USA,county,https://covidactnow.org/us/colorado-co/county/rio_blanco_county
