date,hospitalBedsRequired,hospitalBedCapacity,ICUBedsInUse,ICUBedCapacity,ventilatorsInUse,ventilatorCapacity,RtIndicator,RtIndicatorCI90,cumulativeDeaths,cumulativeInfected,currentInfected,currentSusceptible,currentExposed,countryName,stateName,countyName,intervention,fips,lat,long,lastUpdatedDate
2020-03-17,294,14130,0,991,0,1858,2.1208498921,0.3057502999,477,8852,4504,6879408,4231,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-03-18,304,14130,0,991,0,1858,2.1190579565,0.2947205818,478,10742,5387,6876697,5051,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-03-19,315,14130,0,991,0,1858,2.1112309746,0.2738860261,480,12999,6438,6873456,6036,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-03-20,329,14130,0,991,0,1858,2.0959632988,0.2090113921,482,15694,7694,6869584,7213,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-03-21,345,14130,0,991,0,1858,2.0730376316,0.1694414407,484,18916,9194,6864958,8617,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-03-22,364,14130,0,991,0,1858,2.0420673594,0.1321937666,487,22765,10985,6859433,10293,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-03-23,387,14130,5,991,0,1858,2.0028006109,0.1088880844,491,27359,13122,6852842,12290,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-03-24,414,14130,13,991,0,1858,1.9566523512,0.1,495,32839,15670,6844984,14668,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-03-25,446,14130,24,991,0,1858,1.9049118742000002,0.1,500,39385,18711,6835603,17502,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-03-26,485,14130,36,991,7,1858,1.8494813852,0.1,506,47193,22335,6824423,20875,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-03-27,531,14130,51,991,16,1858,1.7922101714,0.1,513,56506,26653,6811098,24887,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-03-28,586,14130,68,991,27,1858,1.7327756401,0.1,522,67602,31791,6795238,29650,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-03-29,651,14130,89,991,40,1858,1.6721729963,0.1,532,80812,37899,6776382,35297,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-03-30,729,14130,114,991,55,1858,1.6145370604,0.1,545,96511,45137,6754168,41812,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
