fips,hsa,hsa_name
05051,448,"Garland, AR - Hot Spring, AR"
05053,432,"Pulaski (Little Rock), AR - Faulkner, AR"
05055,571,"Craighead, AR - Greene, AR"
05057,404,"Bowie (Texarkana), TX - Miller, AR"
05059,448,"Garland, AR - Hot Spring, AR"
05061,404,"Bowie (Texarkana), TX - Miller, AR"
05063,574,"Howell, MO - Independence, AR"
05065,574,"Howell, MO - Independence, AR"
05067,457,"White, AR - Cleburne, AR"
05069,473,"Jefferson (Pine Bluff), AR - Drew, AR"
05071,522,"Johnson, AR"
05073,404,"Bowie (Texarkana), TX - Miller, AR"
05075,571,"Craighead, AR - Greene, AR"
05077,499,"Crittenden (West Memphis), AR - St. Francis, AR"
05079,473,"Jefferson (Pine Bluff), AR - Drew, AR"
05081,404,"Bowie (Texarkana), TX - Miller, AR"
05083,421,"Sebastian (Fort Smith), AR - Crawford, AR"
05085,432,"Pulaski (Little Rock), AR - Faulkner, AR"
05087,446,"Washington (Fayetteville), AR - Benton, AR"
05089,407,"Baxter, AR - Marion, AR"
05091,404,"Bowie (Texarkana), TX - Miller, AR"
05093,614,"Mississippi, AR - Pemiscot, MO"
05095,527,"Arkansas, AR - Monroe, AR"
05097,448,"Garland, AR - Hot Spring, AR"
05099,404,"Bowie (Texarkana), TX - Miller, AR"
05101,494,"Boone, AR - Carroll, AR"
05103,496,"Ouachita, AR - Dallas, AR"
05105,432,"Pulaski (Little Rock), AR - Faulkner, AR"
05107,537,"Phillips, AR"
05109,448,"Garland, AR - Hot Spring, AR"
05111,571,"Craighead, AR - Greene, AR"
05113,534,"Polk, AR"
05115,442,"Pope, AR - Yell, AR"
05117,432,"Pulaski (Little Rock), AR - Faulkner, AR"
05119,432,"Pulaski (Little Rock), AR - Faulkner, AR"
05121,571,"Craighead, AR - Greene, AR"
05123,499,"Crittenden (West Memphis), AR - St. Francis, AR"
05125,432,"Pulaski (Little Rock), AR - Faulkner, AR"
05127,421,"Sebastian (Fort Smith), AR - Crawford, AR"
05129,494,"Boone, AR - Carroll, AR"
05131,421,"Sebastian (Fort Smith), AR - Crawford, AR"
05133,404,"Bowie (Texarkana), TX - Miller, AR"
05135,574,"Howell, MO - Independence, AR"
05137,574,"Howell, MO - Independence, AR"
05139,486,"Union, AR - Columbia, AR"
05141,432,"Pulaski (Little Rock), AR - Faulkner, AR"
05143,446,"Washington (Fayetteville), AR - Benton, AR"
05145,457,"White, AR - Cleburne, AR"
05147,457,"White, AR - Cleburne, AR"
05149,442,"Pope, AR - Yell, AR"
06001,766,"Alameda (Oakland), CA - Contra Costa, CA"
06003,701,"Washoe (Reno), NV - Carson City, NV"
06005,750,"San Joaquin (Stockton), CA - Calaveras, CA"
06007,697,"Butte (Chico), CA - Tehama, CA"
06009,750,"San Joaquin (Stockton), CA - Calaveras, CA"
06011,690,"Sutter (Yuba City), CA - Yuba, CA"
06013,766,"Alameda (Oakland), CA - Contra Costa, CA"
06015,738,"Coos, OR - Del Norte, CA"
06017,709,"Sacramento (Sacramento), CA - Placer, CA"
06019,718,"Fresno (Fresno), CA - Kings, CA"
06021,697,"Butte (Chico), CA - Tehama, CA"
06023,800,"Humboldt, CA"
06025,774,"San Diego (San Diego), CA - Imperial, CA"
06027,816,"Inyo, CA - Mono, CA"
06029,807,"Kern, CA"
06031,718,"Fresno (Fresno), CA - Kings, CA"
06033,746,"Solano (Vallejo), CA - Napa, CA"
06035,780,"Lassen, CA - Plumas, CA"
06037,723,"Los Angeles (Los Angeles), CA - Orange, CA"
06039,718,"Fresno (Fresno), CA - Kings, CA"
06041,764,"Sonoma (Santa Rosa), CA - Marin, CA"
06043,737,"Stanislaus (Modesto), CA - Merced, CA"
