location_id,variable,annotation_type,comment,date
iso1:us#iso2:us-tx#fips:48351,negative_tests,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-14
iso1:us#iso2:us-tx#fips:48353,negative_tests,cumulative_tail_truncated,Removed 2 values less than 0.,2020-12-13
iso1:us#iso2:us-tx#fips:48363,negative_tests,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-14
iso1:us#iso2:us-tx#fips:48375,negative_tests,cumulative_tail_truncated,Removed 2 values less than 1.,2020-12-13
iso1:us#iso2:us-tx#fips:48381,negative_tests,cumulative_tail_truncated,Removed 2 values less than 0.,2020-12-13
iso1:us#iso2:us-tx#fips:48391,negative_tests,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-14
iso1:us#iso2:us-tx#fips:48399,negative_tests,cumulative_tail_truncated,Removed 2 values less than 0.,2020-12-13
iso1:us#iso2:us-tx#fips:48415,cases,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-15
iso1:us#iso2:us-tx#fips:48415,positive_tests,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-14
iso1:us#iso2:us-tx#fips:48435,negative_tests,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-14
iso1:us#iso2:us-tx#fips:48443,negative_tests,cumulative_tail_truncated,Removed 2 values less than 0.,2020-12-13
iso1:us#iso2:us-tx#fips:48445,negative_tests,cumulative_tail_truncated,Removed 2 values less than 0.,2020-12-13
iso1:us#iso2:us-tx#fips:48461,positive_tests,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-14
iso1:us#iso2:us-tx#fips:48475,positive_tests,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-14
iso1:us#iso2:us-tx#fips:48479,cases,cumulative_tail_truncated,Removed 1 values less than 1.,2020-12-15
iso1:us#iso2:us-va#fips:51161,deaths,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-15
iso1:us#iso2:us-va#fips:51610,cases,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-15
iso1:us#iso2:us-va#fips:51770,deaths,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-15
iso1:us#iso2:us-wa#fips:53005,cases,cumulative_tail_truncated,Removed 1 values less than 1.,2020-12-15
iso1:us#iso2:us-wv#fips:54009,deaths,cumulative_tail_truncated,Removed 2 values less than 0.,2020-12-14
iso1:us#iso2:us-wv#fips:54059,deaths,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-15
iso1:us#iso2:us-wv#fips:54089,deaths,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-15
iso1:us#iso2:us-wv#fips:54101,cases,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-15
